OriginCityName,DestCityName,c
"Bend/Redmond OR","Denver CO",31
"Birmingham AL","Jacksonville FL",31
"Birmingham AL","Las Vegas NV",31
"Birmingham AL","St. Louis MO",31
"Bloomington/Normal IL","Dallas/Fort Worth TX",31
"Boston MA","Akron OH",31
"Boston MA","Charlotte Amalie VI",31
"Boston MA","Jacksonville FL",31
"Boston MA","Nashville TN",31
"Boston MA","New Orleans LA",31
"Boston MA","Portland OR",31
"Boston MA","Sarasota/Bradenton FL",31
"Branson MO","Atlanta GA",31
"Buffalo NY","Fort Myers FL",31
"Buffalo NY","Las Vegas NV",31
"Buffalo NY","Phoenix AZ",31
"Burlington VT","Chicago IL",31
"Cedar Rapids/Iowa City IA","Houston TX",31
"Champaign/Urbana IL","Dallas/Fort Worth TX",31
"Charleston SC","Nashville TN",31
"Charleston/Dunbar WV","Houston TX",31
"Charlotte NC","Allentown/Bethlehem/Easton PA",31
"Charlotte NC","Portland ME",31
"Charlotte NC","Rochester NY",31
"Chattanooga TN","Chicago IL",31
"Chicago IL","Boise ID",31
"Chicago IL","Burlington VT",31
"Chicago IL","Chattanooga TN",31
"Chicago IL","Eagle CO",31
"Chicago IL","Montrose/Delta CO",31
"Chicago IL","Ontario CA",31
"Chicago IL","Rochester MN",31
"Chicago IL","Sarasota/Bradenton FL",31
"Christiansted VI","San Juan PR",31
"Cleveland OH","West Palm Beach/Palm Beach FL",31
"Cody WY","Denver CO",31
"Cody WY","Salt Lake City UT",31
"Colorado Springs CO","Atlanta GA",31
"Colorado Springs CO","San Francisco CA",31
"Colorado Springs CO","Washington DC",31
"Columbus OH","Fort Lauderdale FL",31
"Columbus OH","Newark NJ",31
"Dallas/Fort Worth TX","Aspen CO",31
"Dallas/Fort Worth TX","Bloomington/Normal IL",31
"Dallas/Fort Worth TX","Champaign/Urbana IL",31
"Dallas/Fort Worth TX","Evansville IN",31
"Dallas/Fort Worth TX","Hayden CO",31
"Dallas/Fort Worth TX","Kahului HI",31
"Dallas/Fort Worth TX","Montrose/Delta CO",31
"Dallas/Fort Worth TX","Rapid City SD",31
"Dallas/Fort Worth TX","Tallahassee FL",31
"Dayton OH","Orlando FL",31
"Dayton OH","Tampa FL",31
"Denver CO","Anchorage AK",31
"Denver CO","Bend/Redmond OR",31
"Denver CO","Cody WY",31
"Denver CO","Fort Myers FL",31
"Denver CO","Hartford CT",31
"Denver CO","Jacksonville FL",31
"Denver CO","Knoxville TN",31
"Denver CO","Manchester NH",31
"Denver CO","Moline IL",31
"Denver CO","Monterey CA",31
"Denver CO","Providence RI",31
"Denver CO","Raleigh/Durham NC",31
"Denver CO","Shreveport LA",31
"Detroit MI","Bangor ME",31
"Detroit MI","New Orleans LA",31
"Eagle CO","Atlanta GA",31
"Eagle CO","Chicago IL",31
"Eagle CO","Houston TX",31
"Eagle CO","Los Angeles CA",31
"Eagle CO","Miami FL",31
"Eagle CO","New York NY",31
"Eagle CO","Newark NJ",31
"El Paso TX","San Diego CA",31
"Evansville IN","Dallas/Fort Worth TX",31
"Fairbanks AK","Barrow AK",31
"Fairbanks AK","Deadhorse AK",31
"Fargo ND","Salt Lake City UT",31
"Fort Lauderdale FL","Albany NY",31
"Fort Lauderdale FL","Columbus OH",31
"Fort Lauderdale FL","Las Vegas NV",31
"Fort Lauderdale FL","Manchester NH",31
"Fort Lauderdale FL","Milwaukee WI",31
"Fort Lauderdale FL","Newburgh/Poughkeepsie NY",31
"Fort Lauderdale FL","Richmond VA",31
"Fort Lauderdale FL","Seattle WA",31
"Fort Lauderdale FL","St. Louis MO",31
"Fort Myers FL","Buffalo NY",31
"Fort Myers FL","Denver CO",31
"Fort Myers FL","Hartford CT",31
"Fresno CA","Seattle WA",31
"Gillette WY","Rock Springs WY",31
"Gillette WY","Salt Lake City UT",31
"Grand Rapids MI","Denver CO",31
"Grand Rapids MI","Houston TX",31
"Grand Rapids MI","Orlando FL",31
"Greer SC","Nashville TN",31
"Greer SC","Orlando FL",31
"Guam TT","Honolulu HI",31
"Harlingen/San Benito TX","Austin TX",31
"Harlingen/San Benito TX","San Antonio TX",31
"Hartford CT","Denver CO",31
"Hartford CT","Fort Myers FL",31
"Hartford CT","Miami FL",31
"Hartford CT","Philadelphia PA",31
"Hartford CT","San Juan PR",31
"Hartford CT","West Palm Beach/Palm Beach FL",31
"Hayden CO","Dallas/Fort Worth TX",31
"Hayden CO","Houston TX",31
"Honolulu HI","Anchorage AK",31
"Honolulu HI","Atlanta GA",31
"Honolulu HI","Bellingham WA",31
"Honolulu HI","Guam TT",31
"Honolulu HI","Houston TX",31
"Honolulu HI","New York NY",31
"Honolulu HI","Newark NJ",31
"Honolulu HI","Sacramento CA",31
"Honolulu HI","Salt Lake City UT",31
"Houston TX","Charleston/Dunbar WV",31
"Houston TX","Eagle CO",31
"Houston TX","Grand Rapids MI",31
"Houston TX","Hayden CO",31
"Houston TX","Honolulu HI",31
"Houston TX","Lexington KY",31
"Houston TX","Norfolk VA",31
"Houston TX","Palm Springs CA",31
"Indianapolis IN","Salt Lake City UT",31
"International Falls MN","Minneapolis MN",31
"Jackson WY","Los Angeles CA",31
"Jackson/Vicksburg MS","Baltimore MD",31
"Jackson/Vicksburg MS","Orlando FL",31
"Jacksonville FL","Birmingham AL",31
"Jacksonville FL","Boston MA",31
"Jacksonville FL","Denver CO",31
"Jacksonville FL","San Juan PR",31
"Juneau AK","Ketchikan AK",31
"Juneau AK","Petersburg AK",31
"Kahului HI","Dallas/Fort Worth TX",31
"Kahului HI","Sacramento CA",31
"Kahului HI","San Diego CA",31
"Kansas City MO","New Orleans LA",31
"Kansas City MO","Portland OR",31
"Kansas City MO","San Diego CA",31
"Kansas City MO","Tampa FL",31
"Ketchikan AK","Juneau AK",31
"Ketchikan AK","Sitka AK",31
"Ketchikan AK","Wrangell AK",31
"Key West FL","Orlando FL",31
"Key West FL","Tampa FL",31
"Klamath Falls OR","Portland OR",31
"Klamath Falls OR","San Francisco CA",31
"Knoxville TN","Denver CO",31
"Kona HI","Oakland CA",31
"Kona HI","San Jose CA",31
"Kotzebue AK","Anchorage AK",31
"Las Vegas NV","Amarillo TX",31
"Las Vegas NV","Bellingham WA",31
"Las Vegas NV","Birmingham AL",31
"Las Vegas NV","Buffalo NY",31
"Las Vegas NV","Fort Lauderdale FL",31
