a,b,c
"Panama City FL","Houston TX",118
"Phoenix AZ","Nashville TN",118
"Phoenix AZ","Oklahoma City OK",118
"Pittsburgh PA","Fort Myers FL",118
"Salt Lake City UT","Omaha NE",118
"San Antonio TX","Salt Lake City UT",118
"San Diego CA","Austin TX",118
"San Francisco CA","Kansas City MO",118
"Tampa FL","Providence RI",118
"Tulsa OK","Phoenix AZ",118
"Jackson WY","Denver CO",119
"Minneapolis MN","Boise ID",119
"Salt Lake City UT","Charlotte NC",119
"San Diego CA","Reno NV",119
"Greer SC","Detroit MI",120
"Las Vegas NV","Boston MA",120
"Minneapolis MN","Hartford CT",120
